Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Time/Total,Time/Epoch,Time/Update,Time/Evaluate,Train/Epoch,TotalSteps,Loss/Loss_diffuser,Loss/Loss_inv,Loss/Loss_total
nan,nan,nan,195.00082397460938,195.00082397460938,195.00082397460938,0.0,1.0,1000.0,0.053290560841560364,0.00325229880400002,0.028271431103348732
nan,nan,nan,395.8721923828125,200.8713836669922,200.8713836669922,0.0,2.0,2000.0,0.01641617901623249,0.00013900408521294594,0.008277591317892075
nan,nan,nan,620.5956420898438,224.72341918945312,224.72341918945312,0.0,3.0,3000.0,0.012933570891618729,7.989168807398528e-05,0.006506731733679771
nan,nan,nan,860.4564208984375,239.86082458496094,239.86082458496094,0.0,4.0,4000.0,0.009213592857122421,4.280896609998308e-05,0.004628200549632311
nan,nan,nan,1049.928955078125,189.47256469726562,189.47256469726562,0.0,5.0,5000.0,0.007520345505326986,2.2868061932967976e-05,0.003771606832742691
nan,nan,nan,1234.0150146484375,184.08607482910156,184.08607482910156,0.0,6.0,6000.0,0.0069023859687149525,1.4681614629807882e-05,0.003458533901721239
nan,nan,nan,1416.8948974609375,182.8798370361328,182.8798370361328,0.0,7.0,7000.0,0.006379833444952965,1.0875737643800676e-05,0.0031953544821590185
nan,nan,nan,1604.7611083984375,187.86619567871094,187.86619567871094,0.0,8.0,8000.0,0.005758912302553654,8.357720616913866e-06,0.0028836349956691265
nan,nan,nan,1799.7628173828125,195.00169372558594,195.00169372558594,0.0,9.0,9000.0,0.005132101010531187,6.954475338716293e-06,0.0025695280637592077
nan,nan,nan,1983.953369140625,184.1905517578125,184.1905517578125,0.0,10.0,10000.0,0.004655828699469566,5.533905550691998e-06,0.002330681076273322
nan,nan,nan,2165.129638671875,181.1763153076172,181.1763153076172,0.0,11.0,11000.0,0.004304318223148584,4.668258043238893e-06,0.0021544932387769222
nan,nan,nan,2416.50146484375,251.37188720703125,251.37188720703125,0.0,12.0,12000.0,0.003940134774893522,4.111371708859224e-06,0.001972123049199581
nan,nan,nan,2623.71923828125,207.2177734375,207.2177734375,0.0,13.0,13000.0,0.003827776061370969,3.3457895369792823e-06,0.0019155606860294938
nan,nan,nan,2814.894287109375,191.17491149902344,191.17491149902344,0.0,14.0,14000.0,0.003621910000219941,3.0589051220886176e-06,0.0018124845810234547
nan,nan,nan,3000.90087890625,186.00662231445312,186.00662231445312,0.0,15.0,15000.0,0.0033500671852380037,2.7012779355573002e-06,0.001676384243182838
nan,nan,nan,3187.025634765625,186.12474060058594,186.12474060058594,0.0,16.0,16000.0,0.0033320903312414885,2.3534080355602782e-06,0.001667221775278449
nan,nan,nan,3373.837890625,186.8123321533203,186.8123321533203,0.0,17.0,17000.0,0.003155709244310856,2.346063411096111e-06,0.0015790276229381561
nan,nan,nan,3562.806640625,188.9687042236328,188.9687042236328,0.0,18.0,18000.0,0.0029962491244077682,2.0366792341519613e-06,0.0014991429634392262
nan,nan,nan,3750.621337890625,187.81483459472656,187.81483459472656,0.0,19.0,19000.0,0.0029852171428501606,1.8264677237311844e-06,0.0014935218496248126
nan,nan,nan,3938.5673828125,187.9458770751953,187.9458770751953,0.0,20.0,20000.0,0.002969354623928666,1.7513590364615084e-06,0.0014855529880151153
nan,nan,nan,4122.0751953125,183.50782775878906,183.50782775878906,0.0,21.0,21000.0,0.0028232454787939787,1.7199225794684025e-06,0.0014124829322099686
nan,nan,nan,4341.00537109375,218.93011474609375,218.93011474609375,0.0,22.0,22000.0,0.002654734533280134,1.6450445627924637e-06,0.0013281898573040962
nan,nan,nan,4575.91259765625,234.9075164794922,234.9075164794922,0.0,23.0,23000.0,0.002649883506819606,1.5104773183338693e-06,0.0013256969396024942
nan,nan,nan,4758.44091796875,182.5282745361328,182.5282745361328,0.0,24.0,24000.0,0.002620668150484562,1.4594927506550448e-06,0.001311063882894814
nan,nan,nan,4944.57275390625,186.1317596435547,186.1317596435547,0.0,25.0,25000.0,0.002574699465185404,1.2330907566138194e-06,0.0012879662681370974
nan,nan,nan,5152.7724609375,208.19972229003906,208.19972229003906,0.0,26.0,26000.0,0.0025833165273070335,1.2863292795373127e-06,0.0012923014583066106
nan,nan,nan,5402.37890625,249.60643005371094,249.60643005371094,0.0,27.0,27000.0,0.0023986424785107374,1.198795416712528e-06,0.0011999206617474556
nan,nan,nan,5603.28955078125,200.9105682373047,200.9105682373047,0.0,28.0,28000.0,0.0023855853360146284,1.248142211807135e-06,0.0011934168869629502
nan,nan,nan,5800.876953125,197.58746337890625,197.58746337890625,0.0,29.0,29000.0,0.002271030331030488,1.1143622486997629e-06,0.0011360723292455077
nan,nan,nan,5994.435546875,193.55841064453125,193.55841064453125,0.0,30.0,30000.0,0.002318491693586111,1.0636907745720237e-06,0.001159777631983161
nan,nan,nan,6193.21533203125,198.77967834472656,198.77967834472656,0.0,31.0,31000.0,0.0022274951916188,1.13017108560598e-06,0.001114312675781548
nan,nan,nan,6393.0302734375,199.81532287597656,199.81532287597656,0.0,32.0,32000.0,0.0021786270663142204,9.162734500023362e-07,0.0010897716274484992
nan,nan,nan,6585.15087890625,192.12051391601562,192.12051391601562,0.0,33.0,33000.0,0.0022077334579080343,9.333141974821046e-07,0.0011043334379792213
nan,nan,nan,6778.78369140625,193.63262939453125,193.63262939453125,0.0,34.0,34000.0,0.002139786258339882,9.589290357325808e-07,0.0010703725274652243
nan,nan,nan,6980.69775390625,201.91415405273438,201.91415405273438,0.0,35.0,35000.0,0.002134656999260187,9.544519343762659e-07,0.001067805802449584
